Year,Quarter,avg_finbert,avg_vader
2007,1Q,0.4996234332152199,0.10800000000000003
2007,2Q,0.2855580092758535,0.07507843137254902
2007,3Q,0.35501750954561007,0.09458400000000002
2007,4Q,0.2293942350082125,0.0727107843137255
2008,1Q,0.29331394051109183,0.07707103825136606
2008,2Q,0.31438835484363803,0.07033333333333336
2008,3Q,0.2715909227749085,0.07727210884353748
2008,4Q,0.312137373167039,0.08319819819819824
2009,1Q,0.3518285140761108,0.08519999999999998
2009,2Q,0.37713662871160875,0.09426923076923081
2009,3Q,0.39529079438337517,0.09072916666666664
2009,4Q,0.3995288913393467,0.09525870646766163
2010,1Q,0.26571309145800776,0.07688839285714281
2010,2Q,0.3127248244715819,0.07220962199312715
2010,3Q,0.2962327055443175,0.07041176470588234
2010,4Q,0.3147761464024956,0.08240000000000006
2011,1Q,0.24932924458890574,0.06455172413793103
2011,2Q,0.28567136770252777,0.0806541353383459
2011,3Q,0.30315491719877985,0.07568193384223915
2011,4Q,0.37529218290461297,0.08968809523809523
2012,1Q,0.3955562881274459,0.09035326086956526
2012,2Q,0.3505269591091874,0.09013701923076924
2012,3Q,0.3325601033541575,0.07420842572062085
2012,4Q,0.4144369608355687,0.08894814814814818
2013,1Q,0.4078751074280244,0.08631952662721898
2013,2Q,0.38950766653742913,0.08481435643564358
2013,3Q,0.4072606912045471,0.089183908045977
2013,4Q,0.429701958628086,0.09161948955916469
2014,1Q,0.38698386272028645,0.07770153061224495
2014,2Q,0.41919642916125033,0.08114925373134334
2014,3Q,0.3613030579351628,0.09040852130325815
2014,4Q,0.40361815987153443,0.09957212713936434
2015,1Q,0.32782159816640505,0.07859055118110236
2015,2Q,0.3238209973129668,0.08798484848484854
2015,3Q,0.38351159577290767,0.08857104557640752
2015,4Q,0.3580384135654683,0.08984382284382286
2015,FY,0.3640442876088214,0.04954545454545454
2016,1Q,0.32255229262420426,0.08811475409836063
2016,2Q,0.3331102626880793,0.0819171974522293
2016,3Q,0.3412904749143092,0.0766252723311547
2016,4Q,0.33722104051563284,0.08145647558386408
2016,FY,0.08389596137428068,0.07803571428571429
2017,1Q,0.33555256319318816,0.07760416666666668
2017,2Q,0.3983914852255817,0.08574177215189879
2017,3Q,0.27718707344540067,0.07602690058479532
2017,4Q,0.37849686782472014,0.0882759689922481
2017,FY,0.13442242503629132,0.09409090909090909
2018,1Q,0.3876137202979209,0.08434624145785885
2018,2Q,0.40739666094904575,0.08327816091954023
2018,3Q,0.3223986355052662,0.07819038461538456
2018,4Q,0.3253802877301062,0.07290097402597402
2018,FY,0.23073256089253724,0.08558823529411763
2019,1Q,0.35458096992547644,0.08188059701492544
2019,2Q,0.39374244006201903,0.07959832635983263
2019,3Q,0.4097556925999831,0.08638045738045737
2019,4Q,0.3903343242248315,0.08061279461279461
2019,FY,0.010235064502443885,0.10063636363636363
2020,1Q,0.2854273701171707,0.07624126984126985
2020,2Q,0.35205276720414175,0.07881818181818184
2020,3Q,0.34934365560048986,0.08167978533094815
2020,4Q,0.3955620686679947,0.0875825049701789
2020,FY,0.0007745437434197003,0.09433333333333332
2021,1Q,0.4192813506155413,0.09099529411764704
2021,2Q,0.4256293301196976,0.09291235955056183
2021,3Q,0.3713194423693029,0.09163813229571982
2021,4Q,0.42296911350995015,0.0927168316831684
2021,FY,0.24901584523613174,0.0711875
2022,1Q,0.4223908241867981,0.0920444444444444
2022,2Q,0.39102434996507435,0.0847240566037736
2022,3Q,0.3356443229967313,0.07552192362093366
2022,4Q,0.35946746038404825,0.08516714697406347
2022,FY,0.11384494208902869,0.06291666666666668
2023,1Q,0.4004836910617153,0.08493824701195225
2023,2Q,0.3967718180350558,0.08666730401529638
2023,3Q,0.38698101573286364,0.08968468468468471
2023,4Q,0.43033279498641896,0.09517621145374455
2023,FY,0.07157583773882895,0.03457142857142857
2024,1Q,0.425225121444814,0.09510077519379848
2024,2Q,0.4293070262196271,0.09512500000000004
2024,3Q,0.3806884867103568,0.08722440944881892
2024,4Q,0.31638643275575035,0.08332142857142857
