Year,Quarter,avg_finbert
2007,Q1,0.0
2007,Q2,0.3231256666468151
2007,Q3,0.31550210100231746
2007,Q4,0.2397650783024137
2008,Q1,0.23966727051578585
2008,Q2,0.266010331403878
2008,Q3,0.20270392384223854
2008,Q4,0.2813425340822765
2009,Q1,0.30928066175831254
2009,Q2,0.283948664172836
2009,Q3,0.3290847309659965
2009,Q4,0.32001476422065994
2010,Q1,0.2385393807443522
2010,Q2,0.28334520526768003
2010,Q3,0.24249170276712864
2010,Q4,0.24837434120374183
2011,Q1,0.20283492820296353
2011,Q2,0.263318630721834
2011,Q3,0.2610023577573738
2011,Q4,0.27394933218279244
2012,Q1,0.30913175944133325
2012,Q2,0.3055476572568244
2012,Q3,0.28378827792734
2012,Q4,0.3306150293520823
2013,Q1,0.32413221310638296
2013,Q2,0.34207909492621746
2013,Q3,0.3252599193451274
2013,Q4,0.36775169495006166
2014,Q1,0.3217891986228497
2014,Q2,0.33477563120643883
2014,Q3,0.2652447325361036
2014,Q4,0.2955755832425335
2015,Q1,0.2616180409063665
2015,Q2,0.2347895147728962
2015,Q3,0.2854196839900904
2015,Q4,0.28105416158640306
2016,Q1,0.23964332498401536
2016,Q2,0.2674691958983142
2016,Q3,0.2431526031647488
2016,Q4,0.2703316415270572
2017,Q1,0.2945873480039667
2017,Q2,0.333974378257148
2017,Q3,0.22229082754249316
2017,Q4,0.3152118985599044
2018,Q1,0.3307628079372294
2018,Q2,0.3207156477983937
2018,Q3,0.2650935450124357
2018,Q4,0.26141421080040633
2019,Q1,0.30891403960426467
2019,Q2,0.32023442528678364
2019,Q3,0.31237860353848407
2019,Q4,0.3311890335718592
2020,Q1,0.22341302668013555
2020,Q2,0.29658999961105587
2020,Q3,0.2940105815176611
2020,Q4,0.3324031652812671
2021,Q1,0.3538153193358864
2021,Q2,0.34362582355103594
2021,Q3,0.2830811553155845
2021,Q4,0.34048077268386956
2022,Q1,0.32399039358964987
2022,Q2,0.3129748565133577
2022,Q3,0.2709235606862487
2022,Q4,0.30372150076063054
2023,Q1,0.2937132170144597
2023,Q2,0.3464711357370423
2023,Q3,0.2961727440278884
2023,Q4,0.35591387492717763
2024,Q1,0.3432712764051126
2024,Q2,0.33627274189375145
2024,Q3,0.29208311219363775
2024,Q4,0.2648657292401025
