file_name,Ticker,Year,Quarter,sentence,keyword,category,finbert_positive,finbert_negative,finbert_neutral,vader_positive,vader_negative,vader_neutral,flesch_reading_ease,gunning_fog_index,smog_index,lexical_density,word_count,named_entity_count
ZURN_4Q22.pdf,ZURN,2022,4Q,"While we expect rate increases in commercial insurance to moderate from the 8% seen in 2022, we expect to see further margin
expansion in 2023.",rate increases,Financial,1.0,3.6821440119183535e-08,1.4587534735710506e-08,0.0,0.0,1.0,46.1,18.0,0.0,0.8,25,3
ZURN_4Q22.pdf,ZURN,2022,4Q,"In retail and SME, given the rate increases that we have already actioned in 2023, we should see results starting
to improve.",rate increases,Financial,1.0,7.286324876787376e-09,1.2702669138775491e-08,0.121,0.0,0.879,66.07,10.62,0.0,0.9545454545454546,22,2
ZURN_4Q22.pdf,ZURN,2022,4Q,Firstly is on the reinsurance program.,reinsurance,Financial,4.410776000440819e-06,0.0024966562632471323,0.9974989295005798,0.0,0.0,1.0,56.93,9.07,0.0,1.0,6,1
ZURN_4Q22.pdf,ZURN,2022,4Q,"So on the reinsurance program, first, we've made two changes.",reinsurance,Financial,8.273629646282643e-05,0.0004029802221339196,0.9995143413543701,0.0,0.0,1.0,86.71,8.0,0.0,1.0,10,2
ZURN_4Q22.pdf,ZURN,2022,4Q,"I mean overall for us, I mean, we've seen a relatively modest change in the reinsurance program.",reinsurance,Financial,0.00044153837370686233,0.07015010714530945,0.9294084310531616,0.0,0.0,1.0,62.68,11.51,0.0,0.9411764705882353,17,0
ZURN_4Q22.pdf,ZURN,2022,4Q,And we're not dependent on reinsurance in that way.,reinsurance,Financial,1.0637612831487786e-05,0.0013577044010162354,0.9986316561698914,0.0,0.0,1.0,79.26,12.49,0.0,1.0,9,0
ZURN_4Q22.pdf,ZURN,2022,4Q,So there's a [indiscernible] market volatility.,market volatility,Risk,1.4581076356989797e-05,0.19648577272891998,0.8034996390342712,0.0,0.0,1.0,48.47,15.73,0.0,1.0,6,0
ZURN_4Q22.pdf,ZURN,2022,4Q,"But I guess my fear is that
you're seeing nominal rate increases, but not rate in excess of claims inflation once we adjust frequency as well.
",rate increases,Financial,0.00218780105933547,0.1670985370874405,0.8307136297225952,0.088,0.144,0.768,62.01,16.55,0.0,0.9615384615384616,26,0
ZURN_4Q22.pdf,ZURN,2022,4Q,"Could you talk about the impact that the reinsurance market changes in
terms of price structure, et cetera, is likely to have in that market.",reinsurance,Financial,3.2272848329739645e-05,0.012754754163324833,0.9872130751609802,0.0,0.0,1.0,71.48,11.6,0.0,0.88,25,0
ZURN_4Q22.pdf,ZURN,2022,4Q,"Do you still think that will be the case with all the changes in
the reinsurance market?",reinsurance,Financial,0.00011846711277030408,0.0575457364320755,0.9423357844352722,0.0,0.0,1.0,88.06,9.15,0.0,0.8823529411764706,17,0
ZURN_4Q22.pdf,ZURN,2022,4Q,"So that may be partly connected to reinsurance, maybe partly connected to the continuing concerns around risk of inflation at that
point.",reinsurance,Financial,4.2149349610554054e-05,0.1930435597896576,0.8069143295288086,0.0,0.091,0.909,49.15,16.07,0.0,0.8181818181818182,22,0
ZURN_4Q23.pdf,ZURN,2023,4Q,"The steps taken to manage exposure to natural catastrophes has resulted in a cat loss ratio
within the guided range and improving year-on-year.",catastrophe,Financial,1.0,1.818306927248159e-08,5.880781195344298e-09,0.199,0.086,0.714,39.67,17.9,0.0,0.9565217391304348,23,0
ZURN_4Q23.pdf,ZURN,2023,4Q,"In property, rate increases have remained in the teens while rates in
commercial, auto and excess liability are seeing continued momentum.",rate increases,Financial,1.0,1.0306161257744861e-08,3.763098632703077e-08,0.0,0.083,0.917,24.78,19.83,0.0,0.9523809523809523,21,0
ZURN_4Q23.pdf,ZURN,2023,4Q,"Let me
also stress that we made triple digit profit on the farmers reinsurance management.
",reinsurance,Financial,0.9999347925186157,2.342530024179723e-05,4.172380795353092e-05,0.155,0.15,0.695,64.71,11.33,0.0,1.0,15,0
ZURN_4Q23.pdf,ZURN,2023,4Q,"So, what your state mix is and what your fund designation is, which means the extent to which you use
the federal reinsurance program.",reinsurance,Financial,1.380412868456915e-07,1.4161468016027356e-06,0.9999984502792358,0.0,0.0,1.0,64.04,14.6,0.0,0.8333333333333334,24,0
ZURN_4Q23.pdf,ZURN,2023,4Q,"And also from the feedback we get from the reinsurance brokers, we've got a strong MPCI book.
",reinsurance,Financial,1.0,2.602860149636399e-09,9.539952827708476e-09,0.18,0.0,0.82,71.14,9.15,0.0,0.8823529411764706,17,0
ZURN_4Q23.pdf,ZURN,2023,4Q,"And then also your retention levels on the reinsurance
programs, they haven't kept pace with inflation.",reinsurance,Financial,3.71946080122143e-05,0.33145633339881897,0.6685064435005188,0.0,0.0,1.0,55.24,13.9,0.0,1.0,16,0
ZURN_4Q23.pdf,ZURN,2023,4Q,"And I would kind of assume that there would have been
more positive momentum from the rate increases kind of earning through.",rate increases,Financial,0.9999539852142334,3.222853308670892e-07,4.565112612908706e-05,0.163,0.0,0.837,66.07,14.25,0.0,0.8636363636363636,22,0
ZURN_4Q23.pdf,ZURN,2023,4Q,"For my second question, I noticed something a little small in your reinsurance treaties.",reinsurance,Financial,5.687630618922412e-06,0.01124474685639143,0.988749623298645,0.0,0.0,1.0,65.73,8.46,0.0,1.0,14,1
ZURN_4Q23.pdf,ZURN,2023,4Q,"So, we've non-
renewed the U.S. property quota share and you can see that none of our reinsurance attachment points
have changed.",reinsurance,Financial,2.870086427719798e-05,0.0034152506850659847,0.9965560436248779,0.18,0.0,0.82,77.23,9.85,0.0,1.0,22,1
